Date,BWXT,CCJ,LEU,LTBR,NLR,NXE,UEC,URA,URG,URNM,UUUU
2018-05-08,61.3724250793457,10.992433547973633,3.5,13.199999809265137,43.04016876220703,1.9500000476837158,1.559999942779541,11.335041999816895,0.7400000095367432,,1.850000023841858
2018-05-09,61.344783782958984,11.109374046325684,3.8499999046325684,13.4399995803833,42.41566467285156,1.9600000381469727,1.6100000143051147,11.580904006958008,0.7400000095367432,,1.9700000286102295
2018-05-10,62.192710876464844,11.167845726013184,3.809999942779541,12.600000381469727,42.61820983886719,2.0199999809265137,1.6200000047683716,11.691117286682129,0.7400000095367432,,2.009999990463257
2018-05-11,62.32172393798828,11.216570854187012,3.7699999809265137,13.199999809265137,42.862945556640625,2.0,1.6299999952316284,11.674162864685059,0.7400000095367432,,2.0399999618530273
2018-05-14,62.23877716064453,11.255550384521484,3.799999952316284,12.960000038146973,42.955780029296875,2.0,1.6200000047683716,11.920022964477539,0.7400000095367432,,2.0899999141693115
2018-05-15,62.45077133178711,11.167845726013184,3.7699999809265137,12.600000381469727,42.64352035522461,1.899999976158142,1.5299999713897705,11.69959545135498,0.7400000095367432,,2.0299999713897705
2018-05-16,62.994529724121094,11.187335014343262,3.7200000286102295,12.84000015258789,42.61820983886719,1.8899999856948853,1.5499999523162842,11.716551780700684,0.7400000095367432,,2.0199999809265137
2018-05-17,63.16080856323242,11.148353576660156,3.859999895095825,12.84000015258789,42.61820983886719,1.909999966621399,1.5700000524520874,11.716551780700684,0.7400000095367432,,2.009999990463257
2018-05-18,63.225486755371094,11.070392608642578,3.7699999809265137,12.84000015258789,42.28063201904297,1.899999976158142,1.600000023841858,11.758940696716309,0.7400000095367432,,2.0799999237060547
2018-05-21,63.36406707763672,11.089882850646973,3.9100000858306885,12.600000381469727,42.41566467285156,1.9900000095367432,1.6399999856948853,11.85219955444336,0.7400000095367432,,2.119999885559082
2018-05-22,62.80977249145508,10.349258422851562,3.7300000190734863,12.720000267028809,42.365028381347656,1.9600000381469727,1.5800000429153442,11.419822692871094,0.7200000286102295,,2.009999990463257
